track_popularity,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_occurences,duration_sec,genre_latin,genre_pop,genre_r&b,genre_rap,genre_rock,subgenre_big room,subgenre_classic rock,subgenre_dance pop,subgenre_electro house,subgenre_electropop,subgenre_gangster rap,subgenre_hard rock,subgenre_hip hop,subgenre_hip pop,subgenre_indie poptimism,subgenre_latin hip hop,subgenre_latin pop,subgenre_neo soul,subgenre_new jack swing,subgenre_permanent wave,subgenre_pop edm,subgenre_post-teen pop,subgenre_progressive electro house,subgenre_reggaeton,subgenre_southern hip hop,subgenre_trap,subgenre_tropical,subgenre_urban contemporary,days_since_release
88,0.572,0.385,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,2,215.733,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2765
88,0.768,0.652,-2.708,0,0.307,0.113,0.0,0.107,0.777,154.187,3,144.935,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2408
88,0.708,0.186,-8.953,0,0.0422,0.868,0.0,0.0779,0.321,72.541,4,156.107,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2466
88,0.882,0.602,-5.554,1,0.245,0.0177,0.0,0.178,0.43,142.959,4,183.011,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2366
88,0.738,0.748,-4.902,1,0.0453,0.182,0.0,0.11,0.896,94.949,4,217.253,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2443
88,0.567,0.267,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,1,240.133,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2331
88,0.464,0.473,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801,4,208.687,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2388
88,0.78,0.759,-3.292,1,0.225,0.462,0.000868,0.143,0.579,91.952,6,201.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2451
88,0.87,0.706,-5.395,0,0.126,0.0253,0.0063,0.0872,0.593,100.013,3,145.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2359
88,0.732,0.644,-4.124,1,0.132,0.0934,4.54e-06,0.143,0.554,174.1,4,204.907,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2409
88,0.685,0.692,-5.122,1,0.0457,0.328,0.0,0.153,0.578,159.966,1,240.051,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2611
88,0.776,0.78,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,1,204.347,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3234
88,0.76,0.479,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,6,158.04,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2695
88,0.453,0.538,-8.212,1,0.0638,0.449,0.0,0.19,0.516,122.973,6,204.533,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2443
88,0.657,0.768,-4.628,1,0.0507,0.108,0.0,0.144,0.759,75.025,1,186.223,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2501
87,0.717,0.653,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966,5,207.32,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2639
87,0.741,0.52,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,5,171.03,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2667
87,0.591,0.841,-4.351,0,0.0304,0.0119,0.0,0.395,0.392,109.034,3,158.805,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2401
87,0.499,0.8,-2.665,0,0.0502,0.0906,0.0,0.147,0.272,139.919,2,229.573,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2429
87,0.905,0.389,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,1,193.143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2590
87,0.667,0.583,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,6,181.806,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2422
87,0.876,0.662,-6.482,0,0.426,0.0608,0.0,0.127,0.844,75.445,2,163.32,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2618
87,0.737,0.86,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,5,193.227,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2654
87,0.794,0.32,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,5,342.04,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304
87,0.74,0.498,-6.684,0,0.0456,0.0169,0.00282,0.319,0.652,98.016,8,207.039,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2431
87,0.882,0.689,-4.027,1,0.124,0.39,0.00325,0.0501,0.746,97.963,4,161.627,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2591
87,0.665,0.712,-7.536,1,0.0527,0.00103,0.00342,0.102,0.669,93.989,6,157.22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2360
87,0.842,0.734,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,2,181.027,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2520
87,0.802,0.591,-4.895,1,0.225,0.0104,0.0,0.196,0.309,139.864,3,157.712,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2317
87,0.74,0.613,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,3,166.606,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2968
87,0.693,0.678,-7.159,1,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,8,228.267,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2499
87,0.664,0.666,-2.203,1,0.0446,0.193,0.0,0.0854,0.405,139.987,1,210.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2321
87,0.68,0.578,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038,3,231.267,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2926
87,0.719,0.704,-4.724,1,0.0476,0.0691,0.0,0.166,0.628,133.002,5,187.436,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2814
87,0.834,0.73,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,6,312.82,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2828
86,0.771,0.671,-5.617,1,0.0553,0.00929,0.0,0.0637,0.714,85.026,1,171.36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2443
86,0.579,0.904,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014,3,190.947,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2870
86,0.754,0.449,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,3,198.973,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2863
86,0.737,0.828,-4.711,1,0.0396,0.0149,0.000583,0.0862,0.517,124.052,8,208.474,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2422
86,0.726,0.444,-8.922,0,0.372,0.283,0.143,0.177,0.569,185.044,1,168.84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2590
86,0.825,0.652,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,5,233.713,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346
86,0.921,0.537,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,1,135.09,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2968
86,0.498,0.235,-16.541,0,0.188,0.72,0.0,0.144,0.0895,118.917,2,179.08,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2762
86,0.652,0.557,-5.714,0,0.0318,0.74,0.0,0.124,0.483,150.073,1,169.354,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2723
86,0.736,0.308,-7.83,1,0.0677,0.946,0.0,0.186,0.361,111.202,1,220.492,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2541
